REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE,ORIGINAL_DEMAND,MODELLED_DEMAND
VIC1,2025-01-01 00:00:00,4600.216818181818,76.30030303030303,AVERAGE,4600.216818181818,4600.216818181818
VIC1,2025-01-01 00:05:00,4588.369242424243,81.38969696969697,AVERAGE,4588.369242424243,4588.369242424243
VIC1,2025-01-01 00:10:00,4546.1196969696975,79.62257575757576,AVERAGE,4546.1196969696975,4546.1196969696975
VIC1,2025-01-01 00:15:00,4516.241363636364,78.03015151515152,AVERAGE,4516.241363636364,4516.241363636364
VIC1,2025-01-01 00:20:00,4485.35696969697,76.47469696969696,AVERAGE,4485.35696969697,4485.35696969697
VIC1,2025-01-01 00:25:00,4459.224848484849,75.12969696969697,AVERAGE,4459.224848484849,4459.224848484849
VIC1,2025-01-01 00:30:00,4438.431818181818,75.01439393939394,AVERAGE,4438.431818181818,4438.431818181818
VIC1,2025-01-01 00:35:00,4418.987727272727,75.98515151515153,AVERAGE,4418.987727272727,4418.987727272727
VIC1,2025-01-01 00:40:00,4394.824848484848,76.78454545454545,AVERAGE,4394.824848484848,4394.824848484848
VIC1,2025-01-01 00:45:00,4373.643484848484,75.3810606060606,AVERAGE,4373.643484848484,4373.643484848484
VIC1,2025-01-01 00:50:00,4356.930909090909,74.82787878787879,AVERAGE,4356.930909090909,4356.930909090909
VIC1,2025-01-01 00:55:00,4338.606212121213,73.49318181818182,AVERAGE,4338.606212121213,4338.606212121213
VIC1,2025-01-01 01:00:00,4325.831818181819,71.80878787878788,AVERAGE,4325.831818181819,4325.831818181819
VIC1,2025-01-01 01:05:00,4306.453787878788,74.32242424242423,AVERAGE,4306.453787878788,4306.453787878788
VIC1,2025-01-01 01:10:00,4297.295606060607,76.0968181818182,AVERAGE,4297.295606060607,4297.295606060607
VIC1,2025-01-01 01:15:00,4280.850757575758,73.5160606060606,AVERAGE,4280.850757575758,4280.850757575758
VIC1,2025-01-01 01:20:00,4259.362121212122,71.49212121212122,AVERAGE,4259.362121212122,4259.362121212122
VIC1,2025-01-01 01:25:00,4235.4307575757575,68.16030303030303,AVERAGE,4235.4307575757575,4235.4307575757575
VIC1,2025-01-01 01:30:00,4221.941515151515,70.52469696969698,AVERAGE,4221.941515151515,4221.941515151515
VIC1,2025-01-01 01:35:00,4204.781515151515,70.78969696969696,AVERAGE,4204.781515151515,4204.781515151515
VIC1,2025-01-01 01:40:00,4180.963333333333,68.7219696969697,AVERAGE,4180.963333333333,4180.963333333333
VIC1,2025-01-01 01:45:00,4165.020606060606,68.4689393939394,AVERAGE,4165.020606060606,4165.020606060606
VIC1,2025-01-01 01:50:00,4145.709090909091,66.11333333333333,AVERAGE,4145.709090909091,4145.709090909091
VIC1,2025-01-01 01:55:00,4127.948484848484,66.52424242424243,AVERAGE,4127.948484848484,4127.948484848484
VIC1,2025-01-01 02:00:00,4115.783181818182,64.76787878787879,AVERAGE,4115.783181818182,4115.783181818182
VIC1,2025-01-01 02:05:00,4102.245,67.15878787878789,AVERAGE,4102.245,4102.245
VIC1,2025-01-01 02:10:00,4112.609696969696,67.25575757575757,AVERAGE,4112.609696969696,4112.609696969696
VIC1,2025-01-01 02:15:00,4093.43893939394,65.93787878787879,AVERAGE,4093.43893939394,4093.43893939394
VIC1,2025-01-01 02:20:00,4080.724696969697,62.64757575757575,AVERAGE,4080.724696969697,4080.724696969697
VIC1,2025-01-01 02:25:00,4077.617727272728,64.50651515151516,AVERAGE,4077.617727272728,4077.617727272728
VIC1,2025-01-01 02:30:00,4052.71696969697,61.756818181818176,AVERAGE,4052.71696969697,4052.71696969697
VIC1,2025-01-01 02:35:00,4048.503181818182,64.23757575757577,AVERAGE,4048.503181818182,4048.503181818182
VIC1,2025-01-01 02:40:00,4041.461666666666,62.95909090909091,AVERAGE,4041.461666666666,4041.461666666666
VIC1,2025-01-01 02:45:00,4040.5657575757577,63.02424242424243,AVERAGE,4040.5657575757577,4040.5657575757577
VIC1,2025-01-01 02:50:00,4036.073484848485,62.3169696969697,AVERAGE,4036.073484848485,4036.073484848485
VIC1,2025-01-01 02:55:00,4030.5478787878783,60.913939393939394,AVERAGE,4030.5478787878783,4030.5478787878783
VIC1,2025-01-01 03:00:00,4024.2916666666665,60.74075757575758,AVERAGE,4024.2916666666665,4024.2916666666665
VIC1,2025-01-01 03:05:00,4023.1868181818186,61.68439393939394,AVERAGE,4023.1868181818186,4023.1868181818186
VIC1,2025-01-01 03:10:00,4036.3916666666655,63.68318181818182,AVERAGE,4036.3916666666655,4036.3916666666655
VIC1,2025-01-01 03:15:00,4036.531363636364,62.18863636363636,AVERAGE,4036.531363636364,4036.531363636364
VIC1,2025-01-01 03:20:00,4033.368939393939,61.3369696969697,AVERAGE,4033.368939393939,4033.368939393939
VIC1,2025-01-01 03:25:00,4042.8881818181817,61.54833333333333,AVERAGE,4042.8881818181817,4042.8881818181817
VIC1,2025-01-01 03:30:00,4041.224242424242,65.38242424242424,AVERAGE,4041.224242424242,4041.224242424242
VIC1,2025-01-01 03:35:00,4042.781515151516,62.39545454545455,AVERAGE,4042.781515151516,4042.781515151516
VIC1,2025-01-01 03:40:00,4059.4946969696975,63.679242424242425,AVERAGE,4059.4946969696975,4059.4946969696975
VIC1,2025-01-01 03:45:00,4073.3410606060606,63.211212121212114,AVERAGE,4073.3410606060606,4073.3410606060606
VIC1,2025-01-01 03:50:00,4086.0892424242425,64.18909090909091,AVERAGE,4086.0892424242425,4086.0892424242425
VIC1,2025-01-01 03:55:00,4090.5068181818174,63.68469696969698,AVERAGE,4090.5068181818174,4090.5068181818174
VIC1,2025-01-01 04:00:00,4095.3257575757575,63.113333333333344,AVERAGE,4095.3257575757575,4095.3257575757575
VIC1,2025-01-01 04:05:00,4119.473484848485,63.26893939393939,AVERAGE,4119.473484848485,4119.473484848485
VIC1,2025-01-01 04:10:00,4168.252121212121,66.64393939393939,AVERAGE,4168.252121212121,4168.252121212121
VIC1,2025-01-01 04:15:00,4181.3696969696975,67.04863636363636,AVERAGE,4181.3696969696975,4181.3696969696975
VIC1,2025-01-01 04:20:00,4202.060454545454,68.69333333333334,AVERAGE,4202.060454545454,4202.060454545454
VIC1,2025-01-01 04:25:00,4226.065303030303,68.19045454545454,AVERAGE,4226.065303030303,4226.065303030303
VIC1,2025-01-01 04:30:00,4235.833787878787,67.64181818181818,AVERAGE,4235.833787878787,4235.833787878787
VIC1,2025-01-01 04:35:00,4254.072878787879,66.23166666666667,AVERAGE,4254.072878787879,4254.072878787879
VIC1,2025-01-01 04:40:00,4292.7321212121215,70.3348484848485,AVERAGE,4292.7321212121215,4292.7321212121215
VIC1,2025-01-01 04:45:00,4315.80303030303,68.82272727272728,AVERAGE,4315.80303030303,4315.80303030303
VIC1,2025-01-01 04:50:00,4343.972272727273,70.82560606060606,AVERAGE,4343.972272727273,4343.972272727273
VIC1,2025-01-01 04:55:00,4361.098484848485,74.50530303030304,AVERAGE,4361.098484848485,4361.098484848485
VIC1,2025-01-01 05:00:00,4387.175,78.76848484848485,AVERAGE,4387.175,4387.175
VIC1,2025-01-01 05:05:00,4422.059090909092,75.16166666666666,AVERAGE,4422.059090909092,4422.059090909092
VIC1,2025-01-01 05:10:00,4520.09,85.81530303030304,AVERAGE,4520.09,4520.09
VIC1,2025-01-01 05:15:00,4562.048181818182,86.9639393939394,AVERAGE,4562.048181818182,4562.048181818182
VIC1,2025-01-01 05:20:00,4579.915151515152,86.13318181818181,AVERAGE,4579.915151515152,4579.915151515152
VIC1,2025-01-01 05:25:00,4623.264545454545,89.9819696969697,AVERAGE,4623.264545454545,4623.264545454545
VIC1,2025-01-01 05:30:00,4652.433333333333,88.08606060606061,AVERAGE,4652.433333333333,4652.433333333333
VIC1,2025-01-01 05:35:00,4667.864696969697,86.83242424242424,AVERAGE,4667.864696969697,4667.864696969697
VIC1,2025-01-01 05:40:00,4712.509848484849,91.4978787878788,AVERAGE,4712.509848484849,4712.509848484849
VIC1,2025-01-01 05:45:00,4728.199848484848,92.92924242424242,AVERAGE,4728.199848484848,4728.199848484848
VIC1,2025-01-01 05:50:00,4736.844696969697,89.92924242424242,AVERAGE,4736.844696969697,4736.844696969697
VIC1,2025-01-01 05:55:00,4773.254545454545,91.38242424242424,AVERAGE,4773.254545454545,4773.254545454545
VIC1,2025-01-01 06:00:00,4790.327878787879,84.07909090909091,AVERAGE,4790.327878787879,4790.327878787879
VIC1,2025-01-01 06:05:00,4812.734090909091,82.17424242424242,AVERAGE,4812.734090909091,4812.734090909091
VIC1,2025-01-01 06:10:00,4876.955606060606,87.49954545454545,AVERAGE,4876.955606060606,4876.955606060606
VIC1,2025-01-01 06:15:00,4904.233484848484,83.50969696969698,AVERAGE,4904.233484848484,4904.233484848484
VIC1,2025-01-01 06:20:00,4926.946666666667,79.29560606060606,AVERAGE,4926.946666666667,4926.946666666667
VIC1,2025-01-01 06:25:00,4915.7321212121215,73.57136363636364,AVERAGE,4915.7321212121215,4915.7321212121215
VIC1,2025-01-01 06:30:00,4902.075,65.29742424242424,AVERAGE,4902.075,4902.075
